=== Recipes with Range Patterns - Manual Review List ===
Generated: 2026-02-08 18:19:11 +0700
Total: 159 ingredients

Recipe                                   | Old Description                | Amount     | Unit       | Formatted Display
Hot Summer                               | 4 cl Holunder-Blüten-Sirup     | 4.0        | cl         | 4 cl
Hugo                                     | 2 cl Holunderblüten-Sirup      | 2.0        | cl         | 2 cl
Ipanema                                  | 2-3 Spritzer Lime Juice        | 2.5        | Spritzer   | 2,5 Spritzer
Irish Koko Mandel                        | 2-3cl Mandelsirup              | 2.5        | cl         | 2,5 cl
Jackyto                                  | 10-12 cl Cola                  | 11.0       | cl         | 11 cl
Jet Pilot                                | 1,5cl Pink-Grapefruitsaft      | 1.5        | cl         | 1,5 cl
Kiwi Brasil                              | 4 cl Kiwi-Likör                | 4.0        | cl         | 4 cl
Kiwi-Limes                               | 1-2cl Zuckersirup              | 1.5        | cl         | 1,5 cl
Kiwirita                                 | 1-2BL Rohrzucker               | NOT PARSED | NOT PARSED | 1-2BL Rohrzucker
Kumquat Flambé                           | 5-6 Kumquats                   | 5.5        |            | 5 1/2
Kumquila                                 | 0-6cl Orangensaft              | 3.0        | cl         | 3 cl
Le Piep                                  | 2 cl Gin (G-Vine)              | 2.0        | cl         | 2 cl
Lennis 1000er                            | 3 - 4 Tropfen Mandel Back...   | 3.5        |            | 3 1/2
Lennis 1000er                            | 3 - 4 Tropfen Vanille Bac...   | 3.5        |            | 3 1/2
Lennis 1000er                            | 3 - 4 Tropfen Rum Backaroma    | 3.5        |            | 3 1/2
Lucky Driver                             | 1-2 cl Grenadine               | 1.5        | cl         | 1,5 cl
Mai Tai AF V.2                           | 4-5 Tropfen Rumaroma           | 4.5        |            | 4 1/2
Mai Tai AF V.2                           | 2cl TripleSec-Sirup            | 2.0        | cl         | 2 cl
Manamana                                 | 100g abgetropfte Mandarin...   | NOT PARSED | NOT PARSED | 100g abgetropfte Mandarin-Orangen (Dose)
Manamana                                 | 4cl Mango-Maracuja-Nektar      | 4.0        | cl         | 4 cl
Mangonade (alkoholfrei)                  | 6cl Bionade Ingwer-Orange      | 6.0        | cl         | 6 cl
Martini Lemon                            | Zitronenzeste / -schale        | NOT PARSED | NOT PARSED | Zitronenzeste / -schale
